FID,Shape,FID_1,Area,Block,Profile,EC,SAR,E_Depth,WT,CaCO3,Gypsum,OM,N,P,K,Fe,Mn,Zn,Cu,TEXTURE_AL,pH,Long,Lat
2236,Point,2038,1,32,371,3.64,8.98,150,150,5.1,1.5,0.38,183.75,9.61632,104.3,5.546,3.182,0.79,0.264,Sand,8.53,"30° 4' 13.877"" E","30° 39' 14.347"" N"
2758,Point,3253,4,113,563,2.9,7.65,120,200,6.88,0.2,0.27,98.88,7.57,127.24,6.94,7.14,2.2,0.61,Sand,8.66,"30° 40' 52.676"" E","30° 31' 1.595"" N"
2656,Point,3056,4,64,89,1.22,2.458803,150,200,0.21,0.5,0.15,36.54,8.43,81.28,9.18,7.52,3.18,2.62,Sand,9.06,"30° 25' 49.973"" E","30° 38' 16.886"" N"
1973,Point,1539,1,46,61,4.69,15.25,130,80,2.64,0.83,0.58,68,17,410,6.325,6.675,1,3.8,Sand,7.88,"30° 11' 44.860"" E","31° 16' 5.275"" N"
2206,Point,2003,1,32,653,0.59,0.43,150,150,6,2.6,0.38,99.75,4.78908,46.86,9.044,1.902,0.79,0.262,Sand,9.06,"30° 7' 21.359"" E","30° 39' 48.122"" N"
2481,Point,2816,4,50,559,3.1,6.97,120,200,1.6,2.1,0.12,186.76,6.12,217,2.22,2.27,1.24,0.83,Sand,8.69,"30° 17' 10.678"" E","30° 23' 37.578"" N"
2602,Point,2964,4,62,410,2.6,3.91,150,200,5.78,0.13,0.26,177.98,3.35,107.71,5.21,4.55,3.4,0.14,Sand,8.77,"30° 23' 5.912"" E","30° 25' 16.806"" N"
2559,Point,2906,4,61,335,1.6,6.923495,150,120,1.1,0.27,0.11,136.5,9.88344,100.46,6.842,1.038,0.65,0.116,Sand,8.67,"30° 26' 52.917"" E","30° 18' 48.144"" N"
2815,Point,3386,4,112,71,3.75,7.86,150,200,7.84,0.45,0.37,157.5,2.16,77.74,8.624,4.002,1.546,0.078,Sand,8.59,"30° 44' 37.972"" E","30° 29' 24.674"" N"
2554,Point,2901,4,61,270,1.2,4.705761,150,200,1.1,0.2,0.12,136.5,7.21224,133.66,5.038,2.592,0.65,0.134,Sand,8.32,"30° 29' 41.091"" E","30° 19' 37.535"" N"
2465,Point,2787,4,50,269,6.34,8.23,120,200,2.5,1.6,0.2,117.74,6.71,37.8,0.75,2.78,1.62,0.44,Sand,9.14,"30° 16' 31.780"" E","30° 26' 52.198"" N"
2770,Point,3265,4,113,647,2.73,5.82,120,200,8.09,0.16,0.07,71.19,20.12,101.74,10.79,6.98,1.97,1.98,Sand,8.65,"30° 44' 37.843"" E","30° 30' 13.384"" N"
1824,Point,124,1,53,368,9.5,10.5,150,120,14.63,0.97,0.56,100.4,9.7,380,4.45,4.45,1.3,4.4,Sand,8.01,"30° 19' 11.924"" E","30° 47' 10.743"" N"
2477,Point,2812,4,50,497,11.6,4.72,150,200,0.15,1.2,0.6,81.2,3.39,34.32,2.18,2.44,0.98,0.22,Sand,8.65,"30° 20' 17.635"" E","30° 24' 27.273"" N"
1853,Point,199,1,53,335,1.4,1,120,120,15,0.87,1.7,80,22,365,3.075,3.975,0.87,3.7,Sand,7.96,"30° 18' 53.695"" E","30° 45' 49.470"" N"
2773,Point,3307,4,50,500,2.6,7.46,140,200,0.12,1.2,1.4,77.14,7.57,43.14,3.06,5.83,2.79,0.29,Sand,8.84,"30° 21' 13.829"" E","30° 24' 27.555"" N"
1915,Point,437,1,57,408,2.2,5.6,150,120,3.3,0.4,0.58,111.2,25.3,520,5.9,7.4375,1,0.35,Sand,7.03,"30° 21' 9.720"" E","31° 21' 16.917"" N"
2079,Point,1802,1,30,1,5.22,3.24,150,150,5.2,0.9,0.07,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,9.13,"30° 0' 16.911"" E","30° 27' 34.474"" N"
2145,Point,1907,1,32,178,2.28,4.93,150,150,5.35,3,0.2,73.08,3.24,27.54,3.12,0.99,1.34,0.12,Sand,8.42,"30° 2' 1.951"" E","30° 40' 2.089"" N"
2641,Point,3024,4,63,507,0.74,2.26,150,200,1.84,0.095,0.08,64.96,17.79,87.34,6.38,2.02,0.79,0.1,Sand,8.42,"30° 23' 59.723"" E","30° 31' 46.726"" N"
2536,Point,2883,4,61,29,1.2,3.921224,150,200,1.4,0.13,0.21,199.5,12.24936,75.88,2.924,2.802,0.65,0.13,Sand,8.85,"30° 24' 3.306"" E","30° 22' 2.236"" N"
1790,Point,82,1,41,247,1.5,1.5,150,150,6.1,0.07,0.31,131.2,9.8,380,5.025,4.25,0.8,4.8,Sand,7.91,"30° 10' 8.427"" E","30° 43' 36.515"" N"
2810,Point,3380,4,112,53,11.23,55.54,150,200,2.06,1.4,0.31,189,3.19,147.6,5.142,3.042,1.57,0.162,Sand,9.13,"30° 39' 0.506"" E","30° 29' 23.888"" N"
